token_id,token
0,[PAD]
1,[UNK]
2,!
3,""""
4,#
5,$
6,%
7,&
8,'
9,(
10,)
11,*
12,+
13,","
14,-
15,.
16,/
17,0
18,1
19,2
20,3
21,4
22,5
23,6
24,7
25,8
26,9
27,:
28,;
29,<
30,=
31,>
32,?
33,@
34,A
35,B
36,C
37,D
38,E
39,F
40,G
41,H
42,I
43,J
44,K
45,L
46,M
47,N
48,O
49,P
50,Q
51,R
52,S
53,T
54,U
55,V
56,W
57,X
58,Y
59,Z
60,[
61,\
62,]
63,^
64,_
65,`
66,a
67,b
68,c
69,d
70,e
71,f
72,g
73,h
74,i
75,j
76,k
77,l
78,m
79,n
80,o
81,p
82,q
83,r
84,s
85,t
86,u
87,v
88,w
89,x
90,y
91,z
92,{
93,|
94,}
95,~
96,¡
97,¢
98,£
99,¤
100,¥
101,¦
102,§
103,¨
104,©
105,ª
106,«
107,¬
108,®
109,¯
110,°
111,±
112,²
113,³
114,´
115,µ
116,¶
117,·
118,¸
119,¹
120,º
121,»
122,¼
123,½
124,¾
125,¿
126,À
127,Á
128,Â
129,Ã
130,Ä
131,Å
132,Æ
133,Ç
134,È
135,É
136,Ê
137,Ë
138,Ì
139,Í
140,Î
141,Ï
142,Ð
143,Ñ
144,Ò
145,Ó
146,Ô
147,Õ
148,Ö
149,×
150,Ø
151,Ù
152,Ú
153,Û
154,Ü
155,Ý
156,Þ
157,ß
158,à
159,á
160,â
161,ã
162,ä
163,å
164,æ
165,ç
166,è
167,é
168,ê
169,ë
170,ì
171,í
172,î
173,ï
174,ð
175,ñ
176,ò
177,ó
178,ô
179,õ
180,ö
181,÷
182,ø
183,ù
184,ú
185,û
186,ü
187,ý
188,þ
189,ÿ
190,Ā
191,ā
192,Ă
193,ă
194,Ą
195,ą
196,Ć
197,ć
198,Ĉ
199,ĉ
200,Ċ
201,ċ
202,Č
203,č
204,Ď
205,ď
206,Đ
207,đ
208,Ē
209,ē
210,Ĕ
211,ĕ
212,Ė
213,ė
214,Ę
215,ę
216,Ě
217,ě
218,Ĝ
219,ĝ
220,Ğ
221,ğ
222,Ġ
223,ġ
224,Ģ
225,ģ
226,Ĥ
227,ĥ
228,Ħ
229,ħ
230,Ĩ
231,ĩ
232,Ī
233,ī
234,Ĭ
235,ĭ
236,Į
237,į
238,İ
239,ı
240,Ĳ
241,ĳ
242,Ĵ
243,ĵ
244,Ķ
245,ķ
246,ĸ
247,Ĺ
248,ĺ
249,Ļ
250,ļ
251,Ľ
252,ľ
253,Ŀ
254,ŀ
255,Ł
256,ł
257,Ń
258,Ġt
259,Ġa
260,in
261,er
262,he
263,Ġs
264,on
265,re
266,Ġthe
267,Ġc
268,Ġo
269,ed
270,an
271,Ġw
272,es
273,Ġf
274,or
275,it
276,Ġb
277,Ġp
278,at
279,en
280,Ġm
281,ing
282,Ġin
283,al
284,ar
285,is
286,ic
287,Ġh
288,Ġto
289,Ġof
290,as
291,Ġan
292,Ġd
293,ro
294,ay
295,le
296,ter
297,Ġre
298,us
299,ion
300,Ġg
301,Ġn
302,il
303,Ġth
304,ou
305,Ġand
306,om
307,id
308,Ġl
309,Ġon
310,Ġe
311,ent
312,et
313,ir
314,un
315,day
316,st
317,ur
318,el
319,Ġst
320,ad
321,ac
322,ig
323,ec
324,am
325,ol
326,Ġfor
327,ly
328,Ġit
329,ut
330,ver
331,th
332,ve
333,Ġ3
334,im
335,Ġr
336,ill
337,ow
338,ot
339,Ġat
340,Ġy
341,ation
342,est
343,Ġ39
344,ers
345,Ġj
346,Ġthat
347,Ġas
348,ew
349,Ġcom
350,Ġbe
351,ch
352,igh
353,ith
354,ap
355,up
356,ters
357,ul
358,Ġwith
359,Ġpro
360,Ġis
361,qu
362,Ġch
363,ts
364,ear
365,os
366,Ġcon
367,Ġsh
368,Ġde
369,Ġsa
370,ce
371,and
372,Ġ1
373,Ġus
374,Ġk
375,Ġv
376,Ġhe
377,ag
378,ld
379,Ġits
380,ore
381,ain
382,op
383,uters
384,ak
385,Ġsaid
386,ment
387,Ġwh
388,mp
389,res
390,Ġun
391,Ġby
392,Ġal
393,ri
394,00
395,Ġle
396,Ġcomp
397,oun
398,Ġhas
399,oc
400,rom
401,ast
402,ug
403,Ġ2
404,ks
405,ust
406,ight
407,Ġex
408,all
409,Ġhis
410,ee
411,hen
412,if
413,Ġpl
414,Ġsp
415,Ġaf
416,Ġnew
417,Ġfrom
418,our
419,ian
420,Ġwas
421,oo
422,esday
423,ial
424,ort
425,Ġoff
426,Ġen
427,ess
428,ate
429,ct
430,ist
431,ies
432,ia
433,Ġag
434,ity
435,ave
436,ip
437,ost
438,art
439,ack
440,Ġinc
441,ra
442,Ġmon
443,um
444,Ġwill
445,are
446,old
447,ric
448,ud
449,em
450,Ġwor
451,Ġreuters
452,Ġafter
453,Ġro
454,Ġcl
455,Ġoly
456,Ġolymp
457,ine
458,ry
459,ere
460,Ġfr
461,Ġolympic
462,of
463,ard
464,Ġover
465,pp
466,Ġac
467,ive
468,ect
469,iv
470,ub
471,ab
472,Ġare
473,Ġfir
474,Ġhave
475,Ġup
476,ould
477,mer
478,Ġsec
479,Ġres
480,Ġmar
481,the
482,ell
483,any
484,Ġrep
485,Ġse
486,ans
487,Ġtw
488,Ġab
489,hens
490,Ġtheir
491,ond
492,ong
493,Ġte
494,end
495,ning
496,arg
497,ork
498,to
499,ice
500,Ġfin
501,Ġbut
502,Ġgo
503,Ġexp
504,Ġinter
505,Ġout
506,urs
507,ther
508,ord
509,ome
510,Ġyear
511,Ġtr
512,out
513,ree
514,Ġqu
515,ens
516,Ġfirst
517,ions
518,Ġser
519,Ġmed
520,ant
521,af
522,ick
523,Ġgro
524,Ġir
525,aq
526,ime
527,ire
528,ace
529,ursday
530,und
531,Ġper
532,Ġthursday
533,Ġwin
534,Ġpres
535,iday
536,Ġar
537,Ġmore
538,Ġmo
539,Ġad
540,hed
541,ors
542,Ġor
543,ile
544,ous
545,Ġtwo
546,Ġtu
547,Ġsc
548,ich
549,Ġne
550,Ġtuesday
551,illion
552,Ġwee
553,Ġrec
554,ure
555,Ġfriday
556,age
557,ail
558,ge
559,uc
560,Ġop
561,Ġthis
562,ations
563,ays
564,Ġdis
565,Ġcont
566,Ġpric
567,oft
568,Ġapp
569,Ġpe
570,ite
571,Ġwed
572,ide
573,Ġiraq
574,nesday
575,Ġwednesday
576,Ġbr
577,ke
578,Ġmonday
579,Ġcompany
580,reuters
581,Ġnot
582,ates
583,Ġacc
584,vest
585,anc
586,ign
587,Ġcr
588,ish
589,Ġyork
590,av
591,ident
592,Ġbl
593,ame
594,lic
595,ket
596,Ġind
597,Ġthan
598,Ġone
599,Ġworld
600,ting
601,ue
602,ited
603,ie
604,Ġmin
605,ull
606,tor
607,Ġcor
608,se
609,aj
610,der
611,ester
612,own
613,Ġintern
614,Ġall
615,Ġgre
616,hn
617,ated
618,ational
619,ton
620,Ġoil
621,amp
622,Ġim
623,one
624,Ġ200
625,new
626,Ġco
627,ass
628,athens
629,Ġthey
630,ib
631,ase
632,Ġhigh
633,Ġlast
634,og
635,Ġweek
636,Ġgold
637,Ġwho
638,Ġagain
639,Ġjo
640,Ġban
641,ote
642,Ġabout
643,Ġwere
644,Ġlead
645,Ġcorp
646,ake
647,ance
648,Ġwe
649,etw
650,ary
651,Ġbus
652,Ġmil
653,earch
654,Ġair
655,als
656,iz
657,Ġinto
658,ount
659,ros
660,com
661,ade
662,Ġman
663,vers
664,Ġoffic
665,vern
666,ence
667,Ġ4
668,aw
669,ition
670,xt
671,for
672,Ġgovern
673,Ġear
674,ach
675,ber
676,Ġbo
677,Ġsun
678,Ġyester
